NIF;NOMBRE FONDO;NUMERO REGISTRO CNMV;GESTORA;DEPOSITARIO;AUDITOR
V-65433930;  ANNUALCYCLES STRATEGIES, FI ;4269; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V-85885242;  BBVA BONOS CORPORATIVOS DURACION CUBIERTA, FI ;4195; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V-87036695;  INTERMONEY GESTION FLEXIBLE, FI ;4769; 1) INTERMONEY GESTION, S.G.I.I.C., S.A.        ;BANCO INVERSIS, S.A.        ;PriceWaterhouse & Coopers
V01217512;  KUTXABANK RENTA FIJA CORTO, FI ;667; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V01662766;  MEDIGESTION, FI ;5471; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V01750355;  MUTUAFONDO NUEVA ECONOMÍA, FI ;5474; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;Ernst & Young SL
V01769819;  LIBERBANK CONSOLIDACION, FI ;5496; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
ES0146309002;  HOROS VALUE INTERNACIONAL,FI ;5269; 1) HOROS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;ERNST & YOUNG,SL
ES0182527038;  CARTESIO Y, FI ;2909; 1) CARTESIO INVERSIONES, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA  ;Deloitte SL
V66236498;  VALENTUM, FI ;4710; 1) VALENTUM ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.;DELOITTE, S.L.
V87171005;  MAGALLANES EUROPEAN EQUITY FI ;4841; 1) MAGALLANES VALUE INVESTORS, S.A., SGIIC        ;CACEIS BANK SPAIN S.A.;DELOITTE, S.L.
V88585815;  TRUE VALUE SMALL CAPS, FI ;5445; 1) RENTA 4 GESTORA, S.G.I.I.C., S.A.        ;RENTA 4 BANCO, S.A.        ;ERNST &YOUNG, S.L.
V01773456;  CAIXABANK BONOS SUBORDINADOS, FI ;5473; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V01900604;  LIBERBANK SOLIDARIO, FI ;5482; 1) UNIGEST, S.G.I.I.C., S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V01914118;  LIERDE EQUITIES, F.I. ;5484; 1) AUGUSTUS CAPITAL ASSET MANAGEMENT, SGIIC, S.A.        ;BNP PARIBAS S.A.,SUCURSAL EN ESPAÑA        ;DELOITTE, S.L.
V01920859;  RURAL SOSTENIBLE MODERADO, FI ;5478; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V01953959;  GETINO RENTA FIJA, FI ;5483; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES SL
V02666501;  BANKINTER INDICE SALUD, FI ;5488; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V02666600;  SANTALUCIA GRANDES COMPAÑIAS ZONA EURO, FI ;5498; 1) SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L
V02746964;  GVC GAESCO ASIAN FIXED INCOME, FI ;5490; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES SL
V02747046;  GVC GAESCO BLUE CHIPS RFMI, FI ;5492; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V02747087;  GVC GAESCO BLUE CHIPS RVMI, FI ;5491; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V02753879;  BULNES GLOBAL, FI ;5493; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V02819647;  GESTION BOUTIQUE IV, FI ;5500; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V02826709;  CUASAR OPTIMAL YIELD, FI ;5501; 1) ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.        ;BANKINTER, S.A.        ;ERNST &YOUNG, S.L.
V02830941;  IMANTIA PRO QUANT, FI ;5494; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V02929370;  BISSAN, FI ;5509; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V04833703;  GESTION BOUTIQUE V, FI ;4975; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;CACEIS BANK SPAIN S.A.;Capital Auditors and Consultants, SL
V04856381;  GESTION BOUTIQUE VII, FI ;5138; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Capital Auditors and Consultants, SL
V04861829;  GESEM, FI ;5168; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;GESEM AUDITORES, VICENTE PERTUSA Y CÍA., S.L.P.
V04869202;  MYINVESTOR CARTERA PERMANENTE, FI ;5194; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Deloitte, SL
V04869210;  GESTION BOUTIQUE VI, FI ;5206; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Capital Auditors and Consultants, SL
V04887360;  IMPASSIVE WEALTH, FI ;5295; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Capital Auditors and Consultants, SL
V04887378;  ICARIA CAPITAL DINAMICO, FI ;5294; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V04893186;  GESTION BOUTIQUE VIII, FI ;5316; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Capital Auditors and Consultants, SL
V04893194;  RIVER PATRIMONIO, FI ;5314; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Capital Auditors and Consultants, SL
V04904504;  MM GLOBAL, FI ;5362; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, S.L.
V04911202;  HAMCO GLOBAL VALUE FUND, FI ;5413; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V04930707;  CAIXABANK SI IMPACTO RENTA FIJA, FI ;5542; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V04972261;  CAIXABANK BONOS SUBORDINADOS , FI ;5519; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V05279930;  BANKINTER FLEXIBLE BOND, FI ;5528; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V05318795;  GVC GAESCO VALUE MINUS GROWTH MARKET NEUTRAL FI ;5531; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V05379300;  ABANCA RENTA VARIABLE ESG , FI ;5532; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V05379383;  ABANCA RENTA FIJA ESG , FI ;5533; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
V05383484;  SABADELL CONSOLIDA , FI ;5530; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;DELOITTE, S.L.
V05454608;  MYINVESTOR S&P EQUIPONDERADO, FI ;5538; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V05454665;  MYINVESTOR ACWI, FI ;5539; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, SL
