NIF;SITUACIÓN MERCADOS. EVOLUCION FONDO;INFORMACIÓN SOBRE INVERSIONES;RIESGO ASUMIDO;PERSPECTIVA DE MERCADO
V01750355;Los mercados de capitales mantienen el tono positivo que hemos estado disfrutando desde principios de año, con incrementos generalizados en la mayoría de los activos financieros. En renta variable mantenemos un posicionamiento defensivo, aprovechando los rebotes en Europa para cambiar posiciones hacia los EE.UU. Hemos comenzado a rotar las carteras de empresas cíclicas a aquellas con sesgos más defensivos y eso nos ha llevado a aumentar el peso en sectores de consumo estable, farmacéuticos y servicios públicos.;El tema del cambio climático sigue siendo en el que tenemos la mayor convicción, con un peso medio del 39% del patrimonio. La segunda mega tendencia con más representación en el fondo fue la perturbación tecnológica. Pensamos que los países asiáticos se comportarán mejor en el entorno descrito, y en particular las empresas expuestas al retorno a la normalidad del consumidor chino.;La volatilidad indica si, históricamente, los valores liquidativos del fondo han sufrido variaciones significativas o si, por el contrario, han evolucionado de manera estable. Un fondo altamente volátil tiene un mayor riesgo implícito. Al final del trimestre, el porcentaje de instrumentos derivados medidos por la metodología de compromiso de acciones del IIC es del 6,35%.;Prácticamente todos los indicadores avanzados de la actividad económica apuntan a que entraremos en una fase de fuerte declive de la actividad, particularmente en el sector industrial. Los aumentos de las tasas implementados en los últimos 18 meses comienzan a impactar en las empresas y los individuos que tienen un menor acceso al crédito y mayores costos de financiación.
V01769819;La inflación, la política de los bancos centrales para reducir ese nivel a través de importantes aumentos de tasas, el conflicto entre Ucrania y Rusia, los datos de una economía global recalentándose y la crisis energética en la Unión Europea afectaron negativamente a los mercados. Además, el brutal cambio de la política cero Covid en China tuvo un impacto en los inversores y generó una sensación de incertidumbre.;La inversión en el fondo principal PassIM Structured Funds plc - J. P. Morgan Mansart Multi-Active Protection Fund EUR Clase B (acc) se ha realizado a principios de marzo de 2021. Esta cartera se invierte en una mayoría en EE.UU., Europa y Japón de renta variable (empresario 40%) con filtro ESG.;El fondo ha tenido una volatilidad acumulada en el año de 2,72%. A modo de comparación, la volatilidad del índice de referencia del fondo, para el mismo período, se ha situado en 1,75%. Indicar que mayor volatilidad significa mayor riesgo para el fondo.;La guerra entre Ucrania y Rusia tendrá un peso importante en la estabilidad de la economía mundial. La volatilidad de los últimos meses no parece cesar en su trayectoria ascendente. Sin embargo, deberíamos ver una política monetaria en pausa con aumentos de tasas menos rápidos tanto en Europa como en el Reino Unido y en los Estados Unidos.
V01773456;La primera mitad de 2023 se ha caracterizado por la resistencia de la economía global al impacto de los fuertes incrementos en las tasas que se produjeron durante el año 2022 y gran parte de este año. A pesar de todo, ha sido semestralmente alta en el comportamiento de los mercados y en términos de noticias financieras.;La cartera permanece invertida en renta fija subordinada de emisores financieros y no financieros. Las posiciones que han tenido mayor contribución a la vigencia de la cartera, han sido las de Electrice de France y Energías de Portugal. El fondo ha realizado transacciones con instrumentos derivados para gestionar la cartera de una manera más eficaz.;"La volatilidad del fondo ha sido del 8,10% en todas sus clases, superior a su punto de referencia del 7,63%; el fondo opera actualmente en el 5,5%, frente al 5,3% en mayo; la volatilidad de este fondo ha sido del 8, 10% en los últimos 12 meses, superior al punto de referencia.";En este entorno, nuestra visión de los mercados ha ido evolucionando hacia una mayor neutralidad dentro del universo de los activos de riesgo. Hemos estado disminuyendo la probabilidad de una recesión a corto plazo. En la segunda parte de este año podemos ver si el gran aumento de las tasas finalmente se está moviendo sobre la economía. En nuestro escenario central, este último no parece más probable.
V01900604;Los bancos centrales han seguido la misma tendencia que el último trimestre del año pasado, llevando a cabo intensa actividad de ajuste monetario durante el semestre para tratar de contener los niveles de inflación. Los datos de inflación han seguido aumentando, especialmente en la primera parte del año, por lo que tanto las acciones como los mensajes de los bancos centrales han sido muy agresivos.La Reserva Federal (FED) no ha logrado tasas de un total de 75 puntos básicos en este semestre.;Los principales gestores en los que se invirtió el fondo al final del período fueron Candriam (15,22%), Lazard (7,20%) y Lyxor (6,10%) El fondo invierte en otros fondos que, en su mayoría, integran criterios financieros adicionales de carácter ambiental o social y de gobernanza en su proceso de inversión. Los factores del SGA se están volviendo cada vez más importantes para el desempeño financiero de las empresas.;El fondo ha tenido una volatilidad acumulada en el año de 3.59%. A modo de comparación, la volatilidad de la Carta del Tesoro a un año se ha situado en 4.29%. Indicar que mayor volatilidad significa mayor riesgo. 5.5% del valor del fondo se mantiene actualmente en efectivo.;Después del buen comportamiento de los activos de riesgo durante el primer semestre, creemos que es probable que veamos un período de dudas e incluso ajustes de cierta magnitud. Mantenemos un claro bajo peso en la renta variable y posicionamiento de la renta fija enfocado al crédito de alta calidad en períodos cortos. Seguimos pensando que el aumento de la sensibilidad de la comparación en duraciones excesivas no compensa el riesgo.
V01914118;La cartera de LIERDE, compuesta por empresas líderes en el sector con una oportunidad de crecimiento y generación de valor a los accionistas, finaliza el año con una rentabilidad de -10,2% y una creación de valor (Aumento del valor contable por acción + Rentabilidad por dividendo), demostrando el 13% de la fortaleza del sector. Además de Lierde Equities, se gestionan un fondo de pensiones y un sicav, todos siguen la misma estrategia de inversión.;Durante el cuarto trimestre hemos incorporado tres empresas y hemos vendido dos. En el lado de las compras, hemos construido una posición en Gerresheimer, empresa alemana líder en la fabricación de envases para el sector farmacéutico. Entramos en la empresa industrial suiza Bucher Industries. Las empresas que han contribuido más positivamente al fondo durante el cuarto trimestre de 2022 han sido: Duerr, Neurones, Richemont y Andritz.;La volatilidad de LIERDE en los últimos doce meses es 17,5% en comparación con el 23,4% de Eurostox 50 y 19,0% de Stoxx 600. 5% de LIERDE se negocia en la Bolsa de Nueva York (NYSEMPKT:LME);La cartera de LIERDE FI está compuesta por empresas líderes en su sector con una oportunidad de crecimiento y generación de valor para los accionistas. Actualmente consideramos que la generación de valor medio de cartera para los próximos años va a ser de doble dígito. La cartera está actualmente valorada en $1.2 mil millones.
V01920859;El año comenzó con fuertes aumentos en los mercados, tanto de renta fija como variable, animados por las expectativas positivas de la reapertura de China. Este optimismo se rompió en marzo después de la quiebra de dos bancos estadounidenses medianos, SVB y Signature Bank, y más tarde First Republic, que terminó siendo comprada por JP Morgan.;El 34,24% se invierte en acciones, un porcentaje más alto que en el período anterior, el 62% en renta fija frente al 68% en diciembre. El 25,06% de las acciones son fondos que invierten en renta variable con un alcance geográfico global. 7% en renta variable europea y el resto en renta variable estadounidense. 11% de los activos se asignan a inversiones temáticas sostenibles.;La volatilidad histórica es un indicador de riesgo que nos da alguna información sobre la magnitud de los movimientos que se pueden esperar en el valor liquidativo del fondo. La volatilidad histórica es un indicador de riesgo que nos da información sobre la magnitud de los movimientos que se pueden esperar en el valor liquidativo del fondo.;"Los fuertes incrementos en las tasas oficiales acumuladas en los últimos doce meses comenzarán a pesar en crecimiento. La clave serán los resultados del negocio; para 2024 esperamos que crezcan ligeramente, siempre que la desaceleración en el sector económico 17 sea moderada. Mantendremos una cartera diversificada geográficamente y las inversiones temáticas sostenibles."
V01953959;La apuesta sigue siendo de alta calidad, es decir, alto valor de los activos. La preferencia sigue siendo los bonos públicos, ya que, a largo plazo, siguen siendo una de las mejores opciones de seguridad. La ampliación de la inversión se ha utilizado futuros en el BUXL, a la espera de un potencial reducido de los tipos de interés reales. La rentabilidad del fondo es de -2.09%, por debajo de la rentabilidad del precio de capital español en acciones a 3.043.045., 68% sobre los activos durante el período.;La inversión del período ha seguido siendo deuda alemana a largo plazo, ya que cuando comienza el estrés económico podría comportarse mejor que la deuda periférica. La moneda ha jugado un papel importante en el período, siendo el euro más estable en el período. Este fondo no tiene ningún activo en disputa ni afecta al artículo 48.1.j del RIIC.;El riesgo asumido por el IIC, medido por la volatilidad del valor liquidativo, es de 10 de 12,15%, frente a una volatilidad del 0,33% de la carta de tesorería española con vencimiento de un año. El riesgo asumido es de 10 de 12, o 5 de 5, dependiendo del vencimiento de la letra.;Si la economía continúa deteriorándose hasta el rito actual, veremos la necesidad de estimular la economía al abaratar el dinero. Una posición al alza en la renta fija podría cosechar los frutos de la crisis subyacente potencial.
V02666501;La actividad económica mundial evolucionó mejor de lo esperado en la primera mitad de 2023. Las presiones inflacionarias continuaron reduciéndose como consecuencia de la caída de los precios de la energía. Los bancos centrales continuaron endureciendo sus políticas monetarias, aunque desaceleraron el ritmo. Los mercados de renta fija sufrieron una gran volatilidad durante el semestre.;"El fondo ha llevado a cabo futuras operaciones de venta de índices de salud; el resultado de la inversión de 16 en estas transacciones ha resultado en un rendimiento de -0,2% sobre los activos medios del fondo. La estrategia de inversión de derivados ha tratado en todo momento de dar un rendimiento similar al de la referencia.";El nivel medio de apalancamiento en derivados durante el período ha sido de 80,79% y la volatilidad del valor liquidativo del fondo ha sido de 10,19%. volatilidad similar a la del punto de referencia durante el mismo período. 5.19% es la volatilidad media del fondo durante el período.;El rápido e intenso endurecimiento de la política monetaria a nivel mundial debería tener un impacto negativo en la actividad durante la segunda mitad de 2023. Parece probable que el proceso de desinflación continúe su curso a mano de la reducción de las materias primas y la disolución de los cuellos de botella.
V02666600;Los bancos centrales han seguido aumentando el precio del dinero, aunque ha mostrado una desaceleración en los aumentos. La inflación ha estado mostrando los primeros signos de relajación hacia el final del período. La mayoría de los sectores mostraron una revaluación importante durante la primera mitad de 2023. Los que mostraron el mejor comportamiento fueron el sector turístico y el sector minorista.;Los valores que más han contribuido en rentabilidad durante el semestre han sido acciones de ASML Holding NV, SAP SE, Schneider Electric, Futures en Eurostoxx y Ferrari NV. El fondo no ha invertido en productos estructurados. No hay valor por defecto, ni litigios.;El fondo ha tenido una cartera similar a la de su punto de referencia, ya que la cartera de inversión es prácticamente la misma que la del punto de referencia. La volatilidad anualizada del fondo (bajo volatilidad histórica el riesgo de un valor durante un período, con mayor volatilidad mayor riesgo) ha sido del 15%.;La retirada gradual de las medidas de estímulo monetario, la normalización de los tipos de interés, la posible desaceleración de las economías y el aumento de la tensión geopolítica nos llevan a creer que la volatilidad seguirá siendo alta durante el año. La gestión activa de carteras seguirá aprovechando la adopción de nuevas posiciones o el aumento de las existentes en caso de que se materialicen las oportunidades de inversión.
V02746964;La clase minorista GVC Asian Income Fund generó un rendimiento del 0,80% en el 1T 2023, por debajo de la rentabilidad del 1,85% de su valor de referencia JACI Hedge EUR. El bajo rendimiento se debió principalmente a su exposición a divisas USD, que se debilitó en un 1,92% frente a EUR durante el trimestre. La cartera tiene un 13% de rendimiento alto, reducido desde el nivel del 17% del trimestre anterior, ya que nos posicionamos más defensivamente.;La cartera ha tenido un peor rendimiento al mercado en el que se invierte por la moneda que ha disminuido la rentabilidad positiva este trimestre. Los bonos que se han comportado peor han sido ZhongAn P&C Online Seguros, AAC TECNOLOGÍAS HOLDING y Banco Nacional de Kwait. En el lado positivo destacamos Country garden, Indonesia Aluminio y Newcastle Coal Infrastructure.;La volatilidad del IIC en el período ha sido de 10,46%. En el mismo período el índice de referencia ha registrado una volatilidad de 9,96%. La VaR desde el final del período a un mes con un nivel de confianza del 99%, es de 11,58%. En condiciones normales se tardaría 5 días en liquidar el 90% de la cartera invertida.;El mercado ha cambiado ahora a una mayor preocupación por el impacto prolongado del ciclo agresivo de subidas de tipos en los sistemas bancarios y las empresas. Preferimos mantener las tasas defensivas en el 2T2023 hasta que veamos los mercados de bonos sobre una base más estable. Seguimos siendo positivos en los bonos USD con una perspectiva a más largo plazo.
V02747046;El inicio del año en los principales mercados de valores ha sido muy bueno, especialmente en las plazas europeas al registrar rendimientos de dos dígitos. La confianza de los consumidores continúa a altos niveles, reflejando en el sector de servicios que continúa expandiéndose. A nivel empresarial, los márgenes siguen siendo muy fuertes, ya que mantienen o aumentan su política de precios en un escenario de clara desaceleración en los precios de las materias primas y el transporte.;Durante el trimestre hemos añadido nuevas empresas como: Allianz, Repsol y Telefónica. Durante el trimestre los futuros se han comprado y vendido en Nasdaq, S&P y Eurostoxx, y Volatildad. Los activos que han contribuido a una mayor rentabilidad en el período han sido: META PLATFORMS Clase A, APPLE COMPUTER INC, AXA MUNDIAL INFLATION BONDS AA SICAV.;La volatilidad del IIC en el período ha sido de 3,78%. En el mismo período el índice de referencia ha registrado una volatilidad de 3,71%. La VaR de final de período a un mes con un nivel de confianza del 99%, es de 4,15%. La beta de GVC GAESCO BLUE CHIPS RFMI en los últimos 12 meses es 0,35.;En los próximos meses, la Caja seguirá invirtiendo altos niveles en rentas de capital, y la tipología de las empresas y la selección geográfica deberían dar lugar a una rentabilidad claramente superior a la del mercado a largo plazo. El objetivo de la Caja es aumentar al máximo el rendimiento de los miembros de la Caja.
V02747087;El inicio del año en los principales mercados de valores ha sido muy bueno, especialmente en las plazas europeas a la hora de registrar rendimientos de dos dígitos. Por el momento, la tan anunciada recesión no actúa de presencia, sino al contrario, en la que los principales indicadores de actividad, tanto macroeconómicos como microeconómicos, siguen mostrando signos de fortaleza.;Durante el trimestre hemos aumentado la exposición en Amazon, Apple, Alphabet, Meta y Microsoft. También hemos añadido nuevas empresas como: Allianz, Repsol, Telefónica o ArcelorMittal. Los activos que han contribuido con mayor rentabilidad en el período han sido: META NZ PLATFORMS CLASS A, APPLE COMPUTER INC, ROBECO SAM ENERGY SM.;La volatilidad del IIC en el período ha sido del 6,17%. En el mismo período el índice de referencia ha registrado una volatilidad del 9,27%. La VaR desde el final del período a un mes con un nivel de confianza del 99%, es del 6,72 %. En condiciones normales tomaría 0,93 días liquidar el 90% de la cartera invertida.;La Caja continuará con altos niveles de inversión en rentas de acciones en los próximos meses, dada la falta de correspondencia entre las cotizaciones y las valoraciones, y la tipología de las empresas y la selección geográfica deberían dar lugar a una rentabilidad claramente superior a la del mercado a largo plazo, con el objetivo de maximizar el rendimiento de 11 miembros de la Caja.
V02753879;El año comenzó con fuertes aumentos en los mercados, tanto de renta fija como variables, motivados por las expectativas positivas de la reapertura de China. Este optimismo se interrumpió en marzo tras la quiebra de dos bancos estadounidenses medianos, SVB y Signature Bank, y más tarde First Republic. En el lado europeo, el nerviosismo vino de Credit Suisse.;La cartera del fondo en la primera mitad de 2023, contiene una selección de empresas de alta calidad, de las que esperamos un rendimiento por encima de la referencia. El primer grupo de empresas en las que se invierte, podría llamarse grandes empresas tecnológicas mundiales, siendo la mayoría de ellas domiciliadas en los EE.UU. El siguiente grupo está compuesto por las principales empresas minoristas, con una rentabilidad mucho mayor que la media del mercado.;El riesgo asumido por el Fondo, medido por la volatilidad de su valor liquidativo diario, ha sido del 15,44% (ambas clases), frente al 11,87% de su valor de referencia en el semestre. La RAV del fondo al 30 de junio en Clase A es del 11,24% y en Clase B del 10,99%.;Los fuertes incrementos en las tasas oficiales acumuladas en los últimos doce meses comenzarán a pesar en crecimiento. No descartamos un aumento en la volatilidad en las bolsas de valores de estos niveles, que vemos como una oportunidad para entrar en niveles más atractivos. Basado en este escenario vamos a mantener una cartera diversificada, centrada en las empresas de calidad que son capaces de crear valor.
V02819647;Las valoraciones de las acciones en este primer semestre han dado paso a un aumento de la mayoría de los índices. En el caso de los EE.UU. con marcada importancia de la expansión de múltiplos al calor de la tecnología. En Europa mano a mano de los resultados de la empresa en su mayoría.;Los activos que se han comportado mejor en este último trimestre son los de NVIDIA CORP, (2,05%), también MICROSOFT CORP (1,48%), y MONCLER SPA ( 1,19%). Por la parte negativa tenemos BOWERO CORP, (-1,11%), a INTL FLAVORS & FRAGRANCES (-0,87 %), y a Darling INGREDIENTIENTIGNIOR ITS (- 0,66%)., Durante el período de referencia de seis meses, el IIC ha operado con instrumentos derivados, que han sido los siguientes: Futuro Dólar Euro FX CME maduraciones.;El IIC ha incluido en su folleto un límite máximo de volatilidad anualizada del 25%. La volatilidad del fondo en el período ha sido del 10,26% (anualizada), mientras que la del Ibex 35 ha sido del 15,61%. La VaR histórica es una medida que supone que el pasado se repetirá en el futuro e indica el máximo que podría perderse.;Trataremos de permanecer muy activos en la gestión y de llevar a cabo la rotación de sectores que nos están dando tan buenos resultados, dentro de las características especiales de este fondo temático. . Seguiremos buscando oportunidades para invertir en los Estados Unidos, Europa, Asia y África.
