NIF;SITUACIÓN MERCADOS. EVOLUCION FONDO;INFORMACIÓN SOBRE INVERSIONES;RIESGO ASUMIDO;PERSPECTIVA DE MERCADO
V01750355;Los activos de renta fija muestran un desempeño positivo durante el primer semestre del año . Los intercambios mundiales cierran el semestre con una revaluación media de casi el 14% .En el caso de las monedas , aunque el dólar frente al euro ha sido relativamente estable , las principales monedas asiáticas , yenes y yuan , se han depreciado bruscamente .;El fondo se ha movido durante el semestre en un rango de exposición a ingresos variables entre el 92% y el 97% .<n>El tema del cambio climático permanece en el que tenemos la mayor convicción, con un peso promedio del 39% del patrimonio.<n>La segunda mega tendencia con mayor representación en el fondo fue la perturbación tecnológica, que representó el 23% del patrimonio.;La volatilidad anual del fondo ha sido de 8,91% y 8,92 % para las clases A y L disminuyendo en ambos casos en comparación con el semestre anterior .<n>El VaR histórico, que es el método utilizado para medir el riesgo global del fondo, indica la pérdida esperada del fondo con un nivel de confianza del 99% durante un período de un mes .;Todos los indicadores avanzados apuntan a que entraremos en una fase de fuerte declive de la actividad, particularmente en el sector industrial.El fabricante del ISM de junio ya indica que las empresas estadounidenses planean reducir su tasa de contratación.El caso europeo es aún más preocupante porque Alemania, el principal motor económico de la Eurozona, tiene dos cuartas partes en situación de recesión.
V01769819;Los activos del fondo al final del período ascendieron a 243.368.805,31 euros, lo que representa una variación de -7,11%, en comparación con el período anterior .<n>La rentabilidad del fondo en el semestre es de aproximadamente -1,07% .;Morgan Mansart MultiActive Protection Fund EUR Clase B (acc)<n>Las inversiones subyacentes a este producto financiero no tienen en cuenta los criterios de la UE para actividades económicas sostenibles desde el punto de vista medioambiental .;El fondo ha tenido una volatilidad acumulada en el año de 2,72%, que se utiliza como medida de riesgo .<n>La volatilidad del índice de referencia del fondo, para el mismo período, se ha situado en 1,75% .;Esta vez con una inflación más controlada, y la guerra entre Ucrania y Rusia, tendrá un peso importante en la estabilidad de la economía mundial.La volatilidad de los últimos meses no parece cesar en su trayectoria ascendente, con una temporada de resultados que seguramente se verá afectada por el efecto de freno creado por los bancos centrales.Deberíamos ver una política monetaria en pausa (pero hakwish todavía) con aumentos de tasas menos rápidos tanto en Europa como en el Reino Unido y en los Estados Unidos.
V01773456;La lucha de los bancos centrales contra la inflación persistente ha llevado a un movimiento vertical de los tipos de interés oficiales . < n> Ha sido un aumento semestral en el mercado laboral en los Estados Unidos y en Europa . < n> El impacto de los aumentos de los tipos de interés ha afectado el equilibrio financiero de la banca regional de los Estados Unidos .;La cartera permanece invertida en renta fija subordinada de emisores financieros y no financieros .<n>Las posiciones que han tenido mayor contribución al rendimiento de la cartera, han sido las de Electrice de France y Energías de Portugal .;La volatilidad del fondo ha sido del 8,10% en todas sus clases, superior a su punto de referencia del 7,63% .<n>La volatilidad del fondo ha sido del 8,10% en todas sus clases, superior a su punto de referencia del 7,63% .;Hemos estado disminuyendo la probabilidad de una recesión a corto plazo .No descartamos aumentos importantes de las tasas como consecuencia de la solidez del ciclo .En la segunda parte de este año podemos ver si el gran aumento de las tasas finalmente se está moviendo sobre la economía .
V01900604;La Reserva Federal (FED) no ha logrado un total de 75 puntos básicos en este semestre.El SNB suizo ha seguido endureciendo la política monetaria con dos aumentos.La guerra entre Rusia y Ucrania sigue siendo un terrible drama social.El riesgo de una intervención china en Taiwán sigue latente.;Los factores ASG se están volviendo cada vez más importantes para el desempeño financiero de las empresas .<n>El fondo puede invertir un porcentaje del 100% en emisiones de renta fija de baja calidad crediticia, por lo que tiene un riesgo de crédito muy alto .;El fondo ha tenido una volatilidad acumulada en el año del 3,59%, que se utiliza como una medida de riesgo .<n>A modo de comparación, para el mismo período, la volatilidad de la Carta del Tesoro a un año se ha situado en 4,29% .;Creemos que es probable que veamos un período de dudas e incluso ajustes de cierta magnitud .<n> Mantenemos un claro bajo peso en renta variable y posicionamiento de renta fija centrado en el crédito de alta calidad en períodos cortos .
V01914118;La cartera de LIERDE, compuesta por empresas líderes en el sector con una oportunidad de crecimiento y generación de valor para los accionistas, finaliza el año con una rentabilidad de -10,2% .<n>Se estima que la cartera actual tendrá una creación de valor para los próximos años de doble dígito .<n>Durante el cuarto trimestre, al lado de las compras, se han buscado empresas de alta calidad con precios atractivos .;Durante el cuarto trimestre hemos constituido tres empresas y hemos vendido dos.Las empresas que han contribuido más positivamente al fondo durante el cuarto trimestre de 2022 han sido: Duerr, Neurones, Richemont y Andritz.Las empresas que han contribuido más negativamente han sido: Marlowe, Amazon, Alphabet y FlatexDegiro.;LIERDE en los últimos doce meses es del 17,5% comparado con el 23,4% de Eurostox 50 y el 19,0% de Stoxx 600.<n>La volatilidad de LIERDE en los últimos doce meses es del 17,5% comparado con el 23,4% de Eurostox 50 y el 19,0% de Stoxx 600.;La cartera de LIERDE FI está compuesta por empresas líderes en su sector con una oportunidad de crecimiento y generar valor para los accionistas .<n>La generación de valor medio de cartera para los próximos años va a ser de doble dígito .
V01920859;Hemos observado cierta volatilidad en algunos de los datos publicados contra las expectativas del mercado . < n> La inflación , aunque todavía en niveles elevados , ha reflejado cierta relajación en las principales economías desarrolladas . < n> Los bancos centrales han permanecido firmes en su decisión sobre una política monetaria restrictiva .;A finales de junio, la distribución de la cartera es la siguiente: 34,24% se invierte en acciones, un porcentaje más alto que en el período anterior .<n>25% de las acciones son fondos que invierten en renta variable con un alcance geográfico global .<n>11% de los activos se asignan a inversiones temáticas sostenibles .;la volatilidad en el período de seis meses es del 3,69%, frente al 3,95% de la volatilidad de su referencia para ambas clases y en el mismo período .<n>La VFC histórica al 30 de junio ha sido del 3,86% en su clase estándar y del 3,77% en la clase de cartera .<n>La VFC indica la cantidad máxima que se puede perder, con un nivel de confianza del 99%, en el plazo de 1 mes, si el comportamiento del IIC se repite en los últimos 5 años .;En vista del segundo semestre, los fuertes aumentos de las tasas oficiales acumulados en los últimos doce meses comenzarán a pesar en crecimiento .<n>Los bancos centrales han enfriado las expectativas de tasas más bajas para 2024 que han estado anticipando las tasas a futuro .<n>En 2024 esperamos que crezcan ligeramente, siempre que la desaceleración 17 sector económico sea moderada .<n> Mantendremos una cartera diversificada geográficamente y las inversiones temáticas sostenibles .
V01953959;La rentabilidad del IIC es de -2,09%, por debajo de la rentabilidad de la carta de tesorería española con vencimiento a un año, es decir, 1,03% .<n>Durante el período, la rentabilidad del fondo es de -2,09%, por debajo de la rentabilidad del precio del capital social español a 3.043.045.;La inversión del período ha seguido siendo deuda alemana a largo plazo, ya que cuando comienza el estrés económico podría comportarse mejor que la deuda periférica .<n> Dada la incertidumbre en el mercado, no ha habido un gran impacto o movimiento en la rentabilidad del período .<n> Este fondo no tiene ningún activo en disputa ni afectó al artículo 48.1.j del RIIC .;El riesgo asumido por el IIC, medido por la volatilidad del valor liquidativo, es de 10 del 12,15%, frente a una volatilidad del 0,33% de la carta de tesorería española con vencimiento de un año .;En vista del resto del año, la previsión es que no hay aumentos de la tasa de interés mucho más allá de lo que hemos visto .<n>Si la economía continúa deteriorándose hasta el rito actual, veremos la necesidad de estimular la economía al abaratar el dinero .<n>Una posición al alza en la renta fija podría cosechar los frutos de la crisis subyacente potencial .
V02666501;La actividad económica mundial evolucionó mejor de lo esperado en la primera mitad de 2023 .<n>En algunas regiones como la eurozona y China , los últimos indicadores económicos han sorprendido a la baja .<n>La Reserva Federal decidió mantener la tasa de intervención en su comité de política monetaria en junio .;Durante el período hemos mantenido la inversión del fondo a través de derivados y ETFS referidos a la referencia .<n>Estos instrumentos han contribuido de manera muy similar a la rentabilidad del fondo .<n>El fondo ha llevado a cabo futuras operaciones de venta en índices de salud .<n>La estrategia de inversión en derivados ha buscado en todo momento dar un rendimiento similar al de la referencia .;El nivel medio de apalancamiento en derivados durante el período ha sido del 80,79% .<n>La volatilidad del valor liquidativo del fondo ha sido del 10,19% .;La incertidumbre sobre la evolución de la inflación en el próximo semestre sigue siendo alta . < n> Parece probable que el proceso de desinflación continúe a través de la reducción de las materias primas y la disolución de los cuellos de botella . < n> Los bancos centrales tendrán que permanecer muy vigilantes y aumentar los tipos de interés hasta que tengan seguridad sobre el control de la inflación .
V02666600;La economía europea entró en una recesión técnica mostrando dos cuartas partes seguidas de datos de crecimiento negativo.El precio del cobre tuvo un buen comienzo de año, pero renunció a todo en el segundo trimestre, cerrando el período con una caída de -1.69%.La filosofía de inversión de Santaluca Grandes Empresas Zona Euro es tener una presencia máxima y la exposición a las grandes empresas europeas.;Hemos gestionado los ingresos/salidas del fondo mediante la compra/venta a través de la compra/venta de futuros en el Eurostoxx .<n>Los valores que más han contribuido en rentabilidad durante el semestre han sido acciones de A Holding NV, SAP SE, Schneider Electric, Futures en las acciones Eurostoxx y Ferrari NV .;El fondo ha tenido una cartera similar a la de su punto de referencia, porque la cartera de inversión es prácticamente la misma que la del punto de referencia .<n>La RAV histórica de la cartera indica el máximo que se puede perder, con un nivel de confianza del 99%, dentro de 1 mes, si se repite el comportamiento del IIC de los últimos 5 años .;la volatilidad seguirá siendo alta durante el año . La gestión activa de la cartera seguirá aprovechando la adopción de nuevas posiciones o el aumento de las existentes en caso de que se materialicen las oportunidades de inversión .
V02746964;En el 1T de 2023, el rendimiento del Tesoro estadounidense disminuyó inicialmente en enero debido a la expectativa de que la inflación había alcanzado su pico, y luego se recuperó en febrero, ya que los datos de inflación parecen más altos de lo esperado por el mercado.<n>En marzo, el enfoque se centró en la debilidad del sistema financiero tras el colapso del Silicon Valley Bank en los Estados Unidos y la depreciación del papel de Credit Suisse AT1 en Suiza.<n>La inversión de la curva continúa mientras el mercado espera que la economía estadounidense se desacelere en el año.;En la parte movimientos en cartera sólo se ha hecho una venta del bono de Omán que se había comportado muy bien .<n>Los bonos que se han comportado peor han sido ZhongAn Online P&C Insurance, AAC TECHNOLOGIES HOLDING y National Bank of Kwait .<n>En el lado positivo destacamos Country garden, Indonesia Aluminium and Newcastle Coal Infrastructure .;La volatilidad del IIC en el período ha sido del 10,46% .<n>En el mismo período el índice de referencia ha registrado una volatilidad del 9,96% .<n>La VaR desde el final del período a un mes con un nivel de confianza del 99%, es del 11,58% .;Preferimos mantener las tasas defensivas en el 2T2023 hasta que veamos los mercados de bonos sobre una base más estable .<n>La Reserva Federal de EE.UU. debería ralentizar los tipos de interés del año a los tipos de interés en la segunda mitad de 2023 y la inflación podría aumentar si la segunda mitad de 2023 .<n> Tendríamos sobrepeso y alargaríamos la duración de los bonos de grado de inversión y los bonos soberanos, mientras que no ponderaríamos los bonos de alto rendimiento .
