NIF;SITUACIÓN MERCADOS. EVOLUCION FONDO;INFORMACIÓN SOBRE INVERSIONES;RIESGO ASUMIDO;PERSPECTIVA DE MERCADO
V01750355;Fixed income assets show a positive performance during the first half of the year .<n>World exchanges close the semester with an average revaluation of almost 14% .<n>In the case of currencies, although the dollar against the euro has been relatively stable, the main Asian currencies, yen and yuan, have been depreciated sharply .;The fund has been moved during the semester in a range of exposure to variable income between 92% and 97% .<n>The topic of climate change remains in which we have the greatest conviction, with an average weight of 39% of the patrimony .<n>The second mega trend with more representation in the fund was technological disruption, which represented 23% of the patrimony .;The annual volatility of the fund has been at 8.91% and 8.92 % for classes A and L decreasing in both cases compared to the previous semester .<n>The historical VaR, which is the method used to measure the overall risk of the fund, indicates the expected loss of the fund with a confidence level of 99% over a period of one month .;All the advanced indicators point to that we will enter a phase of strong decline in activity, particularly in the industrial sector .<n>The ISM manufacturer of June already indicates that the American companies plan to reduce their rate of hirings .<n>The European case is even more worrying because Germany, the main economic engine of the Eurozone, has two quarters in recession situation .
V01769819;The fund's assets at the end of the period amounted to 243,368,805.31 euros, representing a variation of -7,11%, compared to the previous period .<n>The profitability of the fund in the semester is approximately -1,07% .;Morgan Mansart MultiActive Protection Fund EUR Class B (acc)<n>Investments underlying this financial product do not take into account the EU criteria for environmentally sustainable economic activities .;The fund has had an accumulated volatility in the year of 2.72%, which is used as a risk measure .<n>The volatility of the reference index of the fund, for the same period, has been placed at 1.75% .;This time with more controlled inflation, and the war between Ukraine and Russia, will have an important weight on the stability of the world economy .<n>The volatility of recent months does not seem to cease in its upward trajectory, with a season of results that will surely be impacted by the brake effect created by central banks .<n>We should see a monetary policy in pause (but hakwish still) with less rapid rate hikes both in Europe and the United Kingdom and in the United States .
V01773456;Central banks’ struggle against persistent inflation has led to a vertical movement of official interest rates .<n>It has been a half-yearly rise in the labour market in the United States and in Europe .<n>The impact of the increases of rates affected the financial balance of the regional banking of the USA .;The portfolio remains invested in subordinated fixed income of both financial and non-financial issuers .<n>The positions that have had the greatest contribution to the perfomance of the portfolio, have been those of Electrice de France and Energas de Portugal .;volatility of the fund has been 8.10% in all its classes, higher than its benchmark of 7.63 per cent .<n>The volatility of the fund has been 8.10% in all its classes, higher than its benchmark of 7.63 per cent .;We have been decreasing the likelihood of a recession in the short term .<n>We do not rule out major increases of rates as a consequence of the robustness of the cycle .<n>In the second part of this year we can see if the big rate rise is finally moving over the economy .
V01900604;The Federal Reserve (FED) has not achieved rates a total of 75 basis points in this semester .<n>The Swiss SNB has continued to tighten monetary policy with two increases .<n>The war between Russia and Ukraine remains a terrible social drama .<n>The risk of a Chinese intervention in Taiwan remains latent .;ASG factors are becoming increasingly important for the financial performance of the companies .<n>The fund may invest a percentage of 100% in fixed income emissions of low credit quality, so that it has a very high credit risk .;The fund has had an accumulated volatility in the year of 3.59%, which is used as a risk measure .<n>By way of comparison, for the same period, the volatility of the Treasury Letter to one year has been placed at 4.29% .;We believe that it is likely that we will see a period of doubts and even adjustments of some magnitude .<n>We keep a clear underweight in variable income and fixed income positioning focused to the high quality credit in short periods .
V01914118;LIERDE’s portfolio, composed by companies leading in the sector with an opportunity for growth and generating value to shareholders, end the year with a profitability of -10.2% .<n>It is estimated that the current portfolio will have a creation of value for the next years of double digit .<n>During the fourth quarter, on the side of the purchases, have been sought high quality companies with attractive prices .;During the fourth quarter we have incorporated three companies and we have sold two .<n>The companies that have contributed most positively to the fund during the fourth quarter of 2022 have been: Duerr, Neurones, Richemont and Andritz .<n>The companies that have contributed most negatively have been: Marlowe, Amazon, Alphabet and FlatexDegiro .;LIERDE in the last twelve months is 17.5% compared to 23.4% of Eurostox 50 and 19.0% of Stoxx 600.<n>The volatility of LIERDE in the last twelve months is 17.5% compared to 23.4% of Eurostox 50 and 19.0% of Stoxx 600.;LIERDE FI’s portfolio is composed of companies that are leading in their sector with an opportunity for growth and generate value for shareholders .<n>The generation of average portfolio value for the coming years is going to be double digit .
V01920859;We have seen some volatility in some of the data published against market expectations .<n>Inflation, although still at high levels, has reflected some relaxation in the main developed economies .<n>Central banks have remained firm in their decision on a restrictive monetary policy .;At the end of June, the distribution of the portfolio is as follows: 34.24% is invested in equities, a percentage higher than in the previous period .<n>25% of the equities are funds that invest in variable income with a global geographical scope .<n>11% of the assets are allocated to sustainable thematic investments .;volatility in the six-month period is 3.69%, compared with 3.95% of the volatility of its benchmark for both classes and in the same period .<n>The historical HRV at 30 June has been 3.86% in its standard class and 3.77% in the portfolio class .<n>The HRV indicates the maximum amount that can be lost, with a confidence level of 99 per cent, within 1 month, if the behaviour of the CII is repeated over the last 5 years .;In view of the second semester, the strong increases in official rates accumulated in the last twelve months will begin to weigh in growth .<n>Central banks have cooled the expectations of lower rates for 2024 that have been anticipating the forward rates .<n>By 2024 we expect them to grow slightly, provided the slowdown 17 economic sector is moderate .<n>We will maintain a diversified portfolio geographically and sustainable thematic investments .
V01953959;The profitability of the IIC is -2,09%, below the profitability of the Spanish treasury letter with maturity to a year, that is 1.03% .<n>During the period, the fund’s profitability is -2,09%, below the profitability of the Spanish capital stock price to 3,043,045.;The investment of the period has remained German long-term debt, since when the economic stress begins it could behave better than the peripheral debt .<n>Given the uncertainty in the market, there has not been a great impact or movement in the profitability of the period .<n>This fund does not have any assets in dispute nor affected Article 48.1.j. of the RIIC .;The risk assumed by the IIC, measured by the volatility of the liquidative value, is 10 of 12.15%, compared to a volatility of 0.33% of the Spanish treasury letter with maturity of one year .;In view of the rest of the year, the forecast is that there are no interest rate increases far beyond what we have seen .<n>If the economy continues to deteriorate to the present rite, we will see a need to stimulate the economy by cheapering the money .<n>An upward position in fixed income could reap the fruits of the potential underlying crisis .
V02666501;Global economic activity evolved better than expected in the first half of 2023 .<n>In some regions such as the Eurozone and China, the latest economic indicators have surprised to fall .<n>The Federal Reserve decided to maintain the rate of intervention in its monetary policy committee in June .;During the period we have maintained the investment of the fund through derivatives and ETFS referenced to the benchmark .<n>These instruments have contributed in a very similar way to the profitability of the fund .<n>The fund has carried out future sales operations on health indices .<n>The derivative investment strategy has sought at all times to give a return similar to that of the benchmark .;The average level of leverage in derivatives during the period has been 80.79% .<n>The volatility of the liquidative value of the fund has been 10.19% .;The uncertainty about the evolution of inflation in the next semester remains high .<n>It seems likely that the deinflation process will continue its course by hand of the lowering of raw materials and the dissolution of bottlenecks .<n>Central banks will have to remain very vigilant and will make some additional increase in interest rates until they have security over the control of inflation .
V02666600;The European economy entered into a technical recession by showing two quarters followed by negative growth data .<n>The price of copper had a good start of the year, but it gave up everything in the second quarter, closing the period with a fall of -1,69% .<n>The investment philosophy of Santaluca Grandes Companies Euro Zone is to have a maximum presence and exposure to the large European companies .;We have managed the receipts/outputs of the fund by purchasing/selling through the purchase/sale of futures on the Eurostoxx .<n>The values that most have contributed in profitability during the semester have been shares of A Holding NV, SAP SE, Schneider Electric, Futures on the Eurostoxx and Ferrari NV shares .;The fund has had a portfolio similar to that of its benchmark, because the investment portfolio is practically the same as that of the benchmark .<n>The historical RAV of the portfolio indicates the maximum that can be lost, with a confidence level of 99%, within 1 month, if the behavior of the CII of the last 5 years is repeated .;volatility will remain high during the year .<n>Active portfolio management will continue to take advantage of taking new positions or increasing existing ones in case investment opportunities materialize .
V02746964;In the 1T of 2023, the US Treasury’s return initially decreased in January due to the expectation that inflation has reached its peak, then recovered in February, as inflation data seem higher than expected by the market.<n>In March, the focus was on the weakness of the financial system following the collapse of Silicon Valley Bank in the United States and the depreciation of the Credit Suisse AT1 paper in Switzerland.<n>The reversal of the curve continues as the market expects the US economy to slow down in the year.;In the part movements in portfolio has only been made a sale of the bond of Oman that had behaved very well .<n>The bonds that have behaved worse have been ZhongAn Online P&C Insurance, AAC TECHNOLOGIES HOLDING and National bank of Kwait .<n>On the positive side we highlight Country garden, Indonesia Aluminium and Newcastle Coal Infrastructure .;The volatility of the IIC in the period has been 10.46% .<n>In the same period the reference index has recorded a volatility of 9.96% .<n>The VaR from end of period to one month with a confidence level of 99%, is 11.58% .;We prefer to keep the defensive rates in the 2T2023 until we look at the bond markets on a more stable basis .<n>The US Federal Reserve should slow down the year-to-rates of interest rates in the second half of 2023 and inflation could increase if the second half of 2023 .<n>We would overweight and extend the duration in investment grade bonds and sovereign bonds, while we would underweight high-performance bonds .
