NIF;SITUACIÓN MERCADOS. EVOLUCION FONDO;INFORMACIÓN SOBRE INVERSIONES;RIESGO ASUMIDO;PERSPECTIVA DE MERCADO
V01750355;[0.5092012436531245, 0.30537590293421535, 0.18542285341266018];[0.2793636952187338, 0.6986712125587884, 0.021965092222477858];[0.041114190874988854, 0.3732412950149854, 0.5856445141100257];[0.016156641408488284, 0.02373874408553765, 0.9601046145059741]
V01769819;[0.07150953023712207, 0.4499711291859137, 0.47851934057696427];[0.033928895149661735, 0.9482915860704728, 0.017779518779865444];[0.049422537978502545, 0.9207952978773066, 0.02978216414419086];[0.7204380255709129, 0.2315031765362454, 0.04805879789284181]
V01773456;[0.27555738647112327, 0.29685882761878996, 0.42758378591008683];[0.03371832147240639, 0.9226400256156921, 0.043641652911901474];[0.9379401506018218, 0.04936979927255476, 0.012690050125623397];[0.16222322954077897, 0.3800990510045916, 0.4576777194546294]
V01900604;[0.3463433306664585, 0.3622502604742817, 0.2914064088592598];[0.048360893036413645, 0.9229139654062064, 0.02872514155737999];[0.0591137391592938, 0.9066958753259219, 0.03419038551478429];[0.1504111975676535, 0.19808698881190948, 0.651501813620437]
V01914118;[0.3245526160024181, 0.6515654137030475, 0.02388197029453441];[0.5145764802416699, 0.37761059484570386, 0.10781292491262624];[0.22479334323366543, 0.06154190370690249, 0.7136647530594321];[0.7297938941843553, 0.258386032736881, 0.011820073078763779]
V01920859;[0.39434677226781795, 0.2232230853773612, 0.3824301423548208];[0.20998590361332184, 0.7582347662812666, 0.03177933010541152];[0.033258620773474204, 0.9028938446301737, 0.06384753459635203];[0.6558366162617284, 0.22935279608282222, 0.1148105876554494]
V01953959;[0.059459728365013904, 0.3170931994373575, 0.6234470721976286];[0.12783234990064665, 0.8593083403992232, 0.012859309700130148];[0.36738061904907227, 0.29597407579421997, 0.33664530515670776];[0.07636592736304362, 0.8889165156424627, 0.03471755699449367]
V02666501;[0.19560163139392628, 0.23905717652274253, 0.5653411920833312];[0.1749334803541519, 0.81595433746223, 0.009112182183618069];[0.04651257205144207, 0.9286484337779404, 0.02483899417061755];[0.5565413183485052, 0.16342436859984846, 0.2800343130516464]
V02666600;[0.15905695357926633, 0.5059115592377968, 0.33503148718293685];[0.021301207230751677, 0.9434153664638797, 0.03528342630536863];[0.07755998637616614, 0.8763573300295671, 0.04608268359426682];[0.0687758397193113, 0.9129450866229175, 0.01827907365777116]
V02746964;[0.0584720248703069, 0.3105107207729483, 0.6310172543567448];[0.02834457786470561, 0.30066416395573714, 0.6709912581795573];[0.027474165832737124, 0.9463454188553098, 0.026180415311953167];[0.12487818486807026, 0.19843355116894174, 0.676688263962988]
V02747046;[0.19995375424520123, 0.7587118616412251, 0.04133438411357367];[0.06277566832500873, 0.9234727752697376, 0.013751556405253666];[0.028087807034482982, 0.9400735234821163, 0.031838669483400805];[0.9138545615228066, 0.0761122125935904, 0.010033225883602977]
V02747087;[0.22227888699338974, 0.7581088123402747, 0.01961230066633552];[0.07822158602870107, 0.9067740325686707, 0.015004381402628254];[0.0296073387756807, 0.936397371932124, 0.03399528929219527];[0.936786005835233, 0.05258457083504597, 0.010629423329721084]
V02753879;[0.3188272086446408, 0.17966034074477996, 0.5015124506105793];[0.08453465674132435, 0.4987272985952648, 0.41673804466341086];[0.03318521479324146, 0.8494922175852125, 0.11732256762154603];[0.6140865087509155, 0.1477002203464508, 0.23821327090263367]
V02819647;[0.10819477165325796, 0.43384876153415725, 0.4579564668125848];[0.034640595252363765, 0.9410816413516521, 0.024277763395984166];[0.05759598931083107, 0.8818121951413409, 0.060591815547828026];[0.5446052226659522, 0.44523802726042105, 0.010156750073626633]
ES0146309002;[0.09225504687649773, 0.8767501617956479, 0.030994791327854418];[0.08385870941535058, 0.9036350016075234, 0.012506288977126056];[0.09744456101850134, 0.8826880175514216, 0.0198674214300771];[0.05555103142348515, 0.9265321748349621, 0.01791679374155276]
ES0182527038;[0.826978354575443, 0.12187240762850547, 0.051149237796051496];[0.021572002323106045, 0.9282244297374695, 0.05020356793942445];[0.3887919971879421, 0.03211582980120848, 0.5790921730108494];[0.7996162414722334, 0.1304316313371823, 0.06995212719058422]
V66236498;[0.3646022683718053, 0.6091625389776988, 0.026235192650495832];[0.20416430197278895, 0.7813186288954571, 0.014517069131753978];[0.012658487887527482, 0.048460114136103426, 0.938881397976369];[0.21273998044379136, 0.7390493447723135, 0.04821067478389508]
V87171005;[0.38473153544289845, 0.3203107228909886, 0.29495774166611294];[0.1942880709894583, 0.7949268655028278, 0.01078506350771394];[0.011653812246073083, 0.026940982255965525, 0.9614052054979614];[0.038746022959491644, 0.8861175810396713, 0.07513639600083705]
V88585815;[0.08990326413516135, 0.06578383174853962, 0.844312904116299];[0.06768876605332722, 0.8575567028074688, 0.07475453113920405];[0.041714642663091155, 0.8327174279769968, 0.1255679293599121];[0.722022194401918, 0.09940768699846553, 0.1785701185996165]
