NIF;SITUACIÓN MERCADOS. EVOLUCION FONDO;INFORMACIÓN SOBRE INVERSIONES;RIESGO ASUMIDO;PERSPECTIVA DE MERCADO
V01750355;[0.9334033727645874, 0.05340789258480072, 0.013188785873353481];[0.6580821871757507, 0.3043590486049652, 0.037558771669864655];[0.06742800772190094, 0.8315261006355286, 0.10104586184024811];[0.015274081379175186, 0.024824049323797226, 0.9599018096923828]
V01769819;[0.012658249586820602, 0.028693420812487602, 0.9586484432220459];[0.043194159865379333, 0.945098340511322, 0.01170747634023428];[0.08855731785297394, 0.8788133859634399, 0.03262931481003761];[0.6378578543663025, 0.34000611305236816, 0.022136015817523003]
V01773456;[0.9177104830741882, 0.05339083820581436, 0.028898656368255615];[0.20771370828151703, 0.7834385633468628, 0.00884772278368473];[0.9506425857543945, 0.034085992723703384, 0.0152713842689991];[0.30803969502449036, 0.4651689827442169, 0.22679130733013153]
V01900604;[0.07522795349359512, 0.22543811798095703, 0.699333906173706];[0.0706145241856575, 0.9183446168899536, 0.011040804907679558];[0.0385734848678112, 0.920316219329834, 0.04111025482416153];[0.10667698085308075, 0.1211891919374466, 0.7721338272094727]
V01914118;[0.8022473454475403, 0.19071319699287415, 0.0070394654758274555];[0.5034993290901184, 0.4886307716369629, 0.007869926281273365];[0.18026606738567352, 0.5640362501144409, 0.25569769740104675];[0.10949624329805374, 0.8789121508598328, 0.011591614224016666]
V01920859;[0.9198852181434631, 0.023281238973140717, 0.05683356896042824];[0.11386635899543762, 0.8682119846343994, 0.01792159117758274];[0.06744369119405746, 0.9076462388038635, 0.024910064414143562];[0.9114907383918762, 0.07952506095170975, 0.008984185755252838]
V01953959;[0.0908823162317276, 0.21376584470272064, 0.6953518390655518];[0.058426886796951294, 0.9288802742958069, 0.012692824006080627];[0.06273633986711502, 0.8707732558250427, 0.06649036705493927];[0.8984593749046326, 0.029561622068285942, 0.07197891920804977]
V02666501;[0.18816892802715302, 0.06303278356790543, 0.7487982511520386];[0.23203812539577484, 0.7577439546585083, 0.010217970237135887];[0.03838484734296799, 0.9268688559532166, 0.034746311604976654];[0.046751391142606735, 0.5778146386146545, 0.375434011220932]
V02666600;[0.6815648078918457, 0.2478889673948288, 0.07054629176855087];[0.024952221661806107, 0.9539724588394165, 0.021075312048196793];[0.06075332313776016, 0.911772608757019, 0.027474112808704376];[0.47056758403778076, 0.5134128928184509, 0.01601950079202652]
V02746964;[0.020925112068653107, 0.018968509510159492, 0.960106372833252];[0.01434009987860918, 0.03801244869828224, 0.9476473927497864];[0.022359557449817657, 0.9300767779350281, 0.047563713043928146];[0.17498479783535004, 0.8061390519142151, 0.018876168876886368]
V02747046;[0.9546793699264526, 0.03045545145869255, 0.014865158125758171];[0.3171837031841278, 0.6743777394294739, 0.008438513614237309];[0.029461944475769997, 0.9063186645507812, 0.06421937048435211];[0.7456937432289124, 0.2465764433145523, 0.007729855366051197]
V02747087;[0.8385801315307617, 0.06037598103284836, 0.10104391723871231];[0.7890421152114868, 0.20357108116149902, 0.0073868040926754475];[0.02403492107987404, 0.9285997748374939, 0.04736533388495445];[0.7673938870429993, 0.22537757456302643, 0.007228580769151449]
V02753879;[0.10503749549388885, 0.060787007212638855, 0.8341754674911499];[0.10526483505964279, 0.8853806257247925, 0.00935455970466137];[0.1382567584514618, 0.5419809818267822, 0.3197622299194336];[0.8640949726104736, 0.12883351743221283, 0.0070715597830712795]
V02819647;[0.8495194911956787, 0.13972748816013336, 0.01075300294905901];[0.05266944691538811, 0.9338698983192444, 0.01346068549901247];[0.03555530682206154, 0.9113020300865173, 0.05314268544316292];[0.6859097480773926, 0.3067558705806732, 0.007334431633353233]
ES0146309002;[0.03728708252310753, 0.7589004635810852, 0.20381249487400055];[0.07840780913829803, 0.9094005227088928, 0.012191600166261196];[0.19379502534866333, 0.7978054285049438, 0.008399509824812412];[0.044395312666893005, 0.9379993677139282, 0.017605304718017578]
ES0182527038;[0.9255755543708801, 0.06138067692518234, 0.013043703511357307];[0.018230093643069267, 0.9238936901092529, 0.05787628889083862];[0.0237748846411705, 0.02870095707476139, 0.9475241899490356];[0.9213154911994934, 0.048285067081451416, 0.03039948083460331]
V66236498;[0.9083437323570251, 0.0811753198504448, 0.010480927303433418];[0.060242101550102234, 0.8980036973953247, 0.04175421968102455];[0.026964951306581497, 0.6119399666786194, 0.3610951006412506];[0.8565096259117126, 0.10273643583059311, 0.04075400531291962]
V87171005;[0.7174500226974487, 0.030880391597747803, 0.25166964530944824];[0.8629966378211975, 0.12512187659740448, 0.01188153587281704];[0.01424913015216589, 0.06112908199429512, 0.9246217608451843];[0.1874057799577713, 0.6758111119270325, 0.1367831528186798]
V88585815;[0.023347293958067894, 0.018740661442279816, 0.9579121470451355];[0.12903627753257751, 0.2436923384666443, 0.6272714138031006];[0.0552893728017807, 0.7696195244789124, 0.17509107291698456];[0.028469683602452278, 0.014601939357817173, 0.9569284319877625]
